,t3,t4,jsdiv,type
0,0.1,200,0.9362031172598044,S1 no Myopic
0,0.1,200,0.7066747450985884,SOFAI w/ Myopic S1
0,0.1,200,0.28669601324829075,SOFAI w/ no Myopic S1
0,0.3,200,0.9362031172598044,S1 no Myopic
0,0.3,200,0.49936761426555115,SOFAI w/ Myopic S1
0,0.3,200,0.34424354006215196,SOFAI w/ no Myopic S1
0,0.6,200,0.9362031172598044,S1 no Myopic
0,0.6,200,0.6983563279138201,SOFAI w/ Myopic S1
0,0.6,200,0.34325077867135256,SOFAI w/ no Myopic S1
0,0.9,200,0.9362031172598044,S1 no Myopic
0,0.9,200,0.814450778288865,SOFAI w/ Myopic S1
0,0.9,200,0.6842775732732796,SOFAI w/ no Myopic S1
0,0.1,200,0.8650530992639776,S1 no Myopic
0,0.1,200,0.4273836732117421,SOFAI w/ Myopic S1
0,0.1,200,0.174900683532998,SOFAI w/ no Myopic S1
0,0.3,200,0.8650530992639776,S1 no Myopic
0,0.3,200,0.34451550296530464,SOFAI w/ Myopic S1
0,0.3,200,0.21891373238771977,SOFAI w/ no Myopic S1
0,0.6,200,0.8650530992639776,S1 no Myopic
0,0.6,200,0.1737454009197406,SOFAI w/ Myopic S1
0,0.6,200,0.25934232287796494,SOFAI w/ no Myopic S1
0,0.9,200,0.8650530992639776,S1 no Myopic
0,0.9,200,0.6478248859317672,SOFAI w/ Myopic S1
0,0.9,200,0.041721720278071084,SOFAI w/ no Myopic S1
0,0.1,200,0.815212398793695,S1 no Myopic
0,0.1,200,0.3403794866165326,SOFAI w/ Myopic S1
0,0.1,200,0.19360331208049064,SOFAI w/ no Myopic S1
0,0.3,200,0.815212398793695,S1 no Myopic
0,0.3,200,0.2386442472181904,SOFAI w/ Myopic S1
0,0.3,200,0.13928177392221064,SOFAI w/ no Myopic S1
0,0.6,200,0.815212398793695,S1 no Myopic
0,0.6,200,0.049334120104522504,SOFAI w/ Myopic S1
0,0.6,200,0.10509951942716979,SOFAI w/ no Myopic S1
0,0.9,200,0.815212398793695,S1 no Myopic
0,0.9,200,0.19239315942743035,SOFAI w/ Myopic S1
0,0.9,200,0.08441223516565263,SOFAI w/ no Myopic S1
0,0.1,200,0.9242848443574417,S1 no Myopic
0,0.1,200,0.81153809247559,SOFAI w/ Myopic S1
0,0.1,200,0.4666385146438706,SOFAI w/ no Myopic S1
0,0.3,200,0.9242848443574417,S1 no Myopic
0,0.3,200,0.4054222335623348,SOFAI w/ Myopic S1
0,0.3,200,0.32710391153885443,SOFAI w/ no Myopic S1
0,0.6,200,0.9242848443574417,S1 no Myopic
0,0.6,200,0.3622594466831608,SOFAI w/ Myopic S1
0,0.6,200,0.7429479418737723,SOFAI w/ no Myopic S1
0,0.9,200,0.9242848443574417,S1 no Myopic
0,0.9,200,0.271524622910984,SOFAI w/ Myopic S1
0,0.9,200,0.31112370386649335,SOFAI w/ no Myopic S1
0,0.1,200,0.8857252383947265,S1 no Myopic
0,0.1,200,0.14901982146647008,SOFAI w/ Myopic S1
0,0.1,200,0.08890355978642575,SOFAI w/ no Myopic S1
0,0.3,200,0.8857252383947265,S1 no Myopic
0,0.3,200,0.12515682236639614,SOFAI w/ Myopic S1
0,0.3,200,0.1529305973396922,SOFAI w/ no Myopic S1
0,0.6,200,0.8857252383947265,S1 no Myopic
0,0.6,200,0.08002601907196631,SOFAI w/ Myopic S1
0,0.6,200,0.08381384262957195,SOFAI w/ no Myopic S1
0,0.9,200,0.8857252383947265,S1 no Myopic
0,0.9,200,0.11993682998924868,SOFAI w/ Myopic S1
0,0.9,200,0.133705471759386,SOFAI w/ no Myopic S1
0,0.1,200,0.9884020438513847,S1 no Myopic
0,0.1,200,0.2933468983290733,SOFAI w/ Myopic S1
0,0.1,200,0.27766053442058164,SOFAI w/ no Myopic S1
0,0.3,200,0.9884020438513847,S1 no Myopic
0,0.3,200,0.4110570820918411,SOFAI w/ Myopic S1
0,0.3,200,0.3913776518997069,SOFAI w/ no Myopic S1
0,0.6,200,0.9884020438513847,S1 no Myopic
0,0.6,200,0.6128596144774461,SOFAI w/ Myopic S1
0,0.6,200,0.44973203949453067,SOFAI w/ no Myopic S1
0,0.9,200,0.9884020438513847,S1 no Myopic
0,0.9,200,0.3422342179765575,SOFAI w/ Myopic S1
0,0.9,200,0.1809073277029522,SOFAI w/ no Myopic S1
0,0.1,200,0.8552286148301351,S1 no Myopic
0,0.1,200,0.5350293575330247,SOFAI w/ Myopic S1
0,0.1,200,0.5985959535857053,SOFAI w/ no Myopic S1
0,0.3,200,0.8552286148301351,S1 no Myopic
0,0.3,200,0.5496282374502038,SOFAI w/ Myopic S1
0,0.3,200,0.5972242990419085,SOFAI w/ no Myopic S1
0,0.6,200,0.8552286148301351,S1 no Myopic
0,0.6,200,0.5180962850144154,SOFAI w/ Myopic S1
0,0.6,200,0.4576987103261061,SOFAI w/ no Myopic S1
0,0.9,200,0.8552286148301351,S1 no Myopic
0,0.9,200,0.5673513104285384,SOFAI w/ Myopic S1
0,0.9,200,0.4023377067600028,SOFAI w/ no Myopic S1
0,0.1,200,0.9256542648776687,S1 no Myopic
0,0.1,200,0.14655847222097035,SOFAI w/ Myopic S1
0,0.1,200,0.0932215373341754,SOFAI w/ no Myopic S1
0,0.3,200,0.9256542648776687,S1 no Myopic
0,0.3,200,0.14699724567543096,SOFAI w/ Myopic S1
0,0.3,200,0.08721413765844799,SOFAI w/ no Myopic S1
0,0.6,200,0.9256542648776687,S1 no Myopic
0,0.6,200,0.1231878115468941,SOFAI w/ Myopic S1
0,0.6,200,0.41293893576148544,SOFAI w/ no Myopic S1
0,0.9,200,0.9256542648776687,S1 no Myopic
0,0.9,200,0.0732551900334392,SOFAI w/ Myopic S1
0,0.9,200,0.05478462386588491,SOFAI w/ no Myopic S1
0,0.1,200,0.8981089952541474,S1 no Myopic
