,t3,t4,jsdiv,type
0,0.1,200,0.8691730137483371,S1 no Myopic
0,0.1,200,0.5313388401635633,SOFAI w/ Myopic S1
0,0.1,200,0.23540805515751023,SOFAI w/ no Myopic S1
0,0.3,200,0.8691730137483371,S1 no Myopic
0,0.3,200,0.3041551916647988,SOFAI w/ Myopic S1
0,0.3,200,0.3459449816217187,SOFAI w/ no Myopic S1
0,0.6,200,0.8691730137483371,S1 no Myopic
0,0.6,200,0.21050552356597907,SOFAI w/ Myopic S1
0,0.6,200,0.27836835155295925,SOFAI w/ no Myopic S1
0,0.9,200,0.8691730137483371,S1 no Myopic
0,0.9,200,0.726562130627318,SOFAI w/ Myopic S1
0,0.9,200,0.42620773679545565,SOFAI w/ no Myopic S1
0,0.1,200,0.8293249267338367,S1 no Myopic
0,0.1,200,0.026118015850601337,SOFAI w/ Myopic S1
0,0.1,200,0.22385824507008828,SOFAI w/ no Myopic S1
0,0.3,200,0.8293249267338367,S1 no Myopic
0,0.3,200,0.15024489266446017,SOFAI w/ Myopic S1
0,0.3,200,0.15480403775593016,SOFAI w/ no Myopic S1
0,0.6,200,0.8293249267338367,S1 no Myopic
0,0.6,200,0.12561146591747596,SOFAI w/ Myopic S1
0,0.6,200,0.031533003736843895,SOFAI w/ no Myopic S1
0,0.9,200,0.8293249267338367,S1 no Myopic
0,0.9,200,0.03859715288655703,SOFAI w/ Myopic S1
0,0.9,200,0.15783764132614866,SOFAI w/ no Myopic S1
0,0.1,200,0.8755684562318519,S1 no Myopic
0,0.1,200,0.6256907546490563,SOFAI w/ Myopic S1
0,0.1,200,0.43134561344839384,SOFAI w/ no Myopic S1
0,0.3,200,0.8755684562318519,S1 no Myopic
0,0.3,200,0.21829921963979004,SOFAI w/ Myopic S1
0,0.3,200,0.5174379725464064,SOFAI w/ no Myopic S1
0,0.6,200,0.8755684562318519,S1 no Myopic
0,0.6,200,0.25766398304929616,SOFAI w/ Myopic S1
0,0.6,200,0.16481426676023603,SOFAI w/ no Myopic S1
0,0.9,200,0.8755684562318519,S1 no Myopic
0,0.9,200,0.2059046723142235,SOFAI w/ Myopic S1
0,0.9,200,0.4750616806341485,SOFAI w/ no Myopic S1
0,0.1,200,0.9439715154188932,S1 no Myopic
0,0.1,200,0.42229478235593176,SOFAI w/ Myopic S1
0,0.1,200,0.22952274750535365,SOFAI w/ no Myopic S1
0,0.3,200,0.9439715154188932,S1 no Myopic
0,0.3,200,0.049750611308034806,SOFAI w/ Myopic S1
0,0.3,200,0.04672093390687549,SOFAI w/ no Myopic S1
0,0.6,200,0.9439715154188932,S1 no Myopic
0,0.6,200,0.2176134654151548,SOFAI w/ Myopic S1
0,0.6,200,0.04903881503126464,SOFAI w/ no Myopic S1
0,0.9,200,0.9439715154188932,S1 no Myopic
0,0.9,200,0.05431358603903706,SOFAI w/ Myopic S1
0,0.9,200,0.09778687490864788,SOFAI w/ no Myopic S1
0,0.1,200,0.786057171234079,S1 no Myopic
0,0.1,200,0.07540206623077852,SOFAI w/ Myopic S1
0,0.1,200,0.12923140572197123,SOFAI w/ no Myopic S1
0,0.3,200,0.786057171234079,S1 no Myopic
0,0.3,200,0.07590260653707749,SOFAI w/ Myopic S1
0,0.3,200,0.11109492549825237,SOFAI w/ no Myopic S1
0,0.6,200,0.786057171234079,S1 no Myopic
0,0.6,200,0.10111172807223362,SOFAI w/ Myopic S1
0,0.6,200,0.2058350672433112,SOFAI w/ no Myopic S1
0,0.9,200,0.786057171234079,S1 no Myopic
0,0.9,200,0.040950657529298655,SOFAI w/ Myopic S1
0,0.9,200,0.05821693600598141,SOFAI w/ no Myopic S1
0,0.1,200,0.8237394331235133,S1 no Myopic
0,0.1,200,0.5780948370776712,SOFAI w/ Myopic S1
0,0.1,200,0.5726955944076189,SOFAI w/ no Myopic S1
0,0.3,200,0.8237394331235133,S1 no Myopic
0,0.3,200,0.5012342016770828,SOFAI w/ Myopic S1
0,0.3,200,0.5571272498370982,SOFAI w/ no Myopic S1
0,0.6,200,0.8237394331235133,S1 no Myopic
