,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
0,0,10.16,-37.880453070281725,9.15,null,0,0.0,0.0,0.0,0,nominal,10.16,-37.880453070281725,5.37,0.0,200,0.8,0.0,0,1,0.5,
0,0,18.09,-84.67850214087062,16.14,null,0,0.0,0.0,0.0,0,const,18.09,-84.67850214087062,0.34,0.0,200,0.8,0.0,0,1,0.5,
0,0,39.0,-1508.9116882454314,3.0,s1,3,0.07692307692307693,-1508.9116882454314,-38.69004328834439,39,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
0,0,39.0,-1508.9116882454314,3.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
1,1,23.0,-962.2842712474619,4.0,s1,4,0.17391304347826086,-962.2842712474619,-41.838446575976604,23,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
1,1,23.0,-962.2842712474619,4.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
2,2,101.0,-3654.284271247462,19.0,s1,19,0.18811881188118812,-3654.284271247462,-36.18103238858873,101,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
2,2,101.0,-3654.284271247462,19.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
3,3,43.0,-1358.9116882454314,6.0,s1,6,0.13953488372093023,-1358.9116882454314,-31.602597401056542,43,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
3,3,43.0,-1358.9116882454314,6.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
4,4,24.0,-1053.5979797464465,2.0,s1,2,0.08333333333333333,-1053.5979797464465,-43.899915822768605,24,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
4,4,24.0,-1053.5979797464465,2.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
5,5,107.0,-4314.284271247462,21.0,s1,21,0.19626168224299065,-4314.284271247462,-40.32041374997628,107,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
5,5,107.0,-4314.284271247462,21.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
6,6,74.0,-3634.7350647362937,11.0,s1,11,0.14864864864864866,-3634.7350647362937,-49.11804141535532,74,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
6,6,74.0,-3634.7350647362937,11.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
7,7,171.0,-2990.989032180456,33.0,s1,33,0.19298245614035087,-2990.989032180456,-17.49116393087986,171,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
7,7,171.0,-2990.989032180456,33.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
8,8,196.0,-10005.744299452284,37.0,s1,37,0.18877551020408162,-10005.744299452284,-51.04971581353206,196,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
8,8,196.0,-10005.744299452284,37.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
9,9,140.0,-2523.9108216936547,47.0,s1,47,0.3357142857142857,-2523.9108216936547,-18.02793444066896,140,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
9,9,140.0,-2523.9108216936547,47.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
10,10,141.0,-1971.283404695685,33.0,s1,33,0.23404255319148937,-1971.283404695685,-13.980733366636064,141,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
10,10,141.0,-1971.283404695685,33.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
11,11,108.0,-2138.6072144624363,20.0,s1,20,0.18518518518518517,-2138.6072144624363,-19.801918652429965,108,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
11,11,108.0,-2138.6072144624363,20.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
12,12,201.0,-1685.8317446550755,56.0,s1,56,0.27860696517412936,-1685.8317446550755,-8.387222610224256,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
12,12,201.0,-1685.8317446550755,56.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
