,t3,t4,jsdiv,type
0,0.1,200,0.964529298077837,S1 no Myopic
0,0.1,200,0.12477284682330111,SOFAI w/ Myopic S1
0,0.1,200,0.737180468037874,SOFAI w/ no Myopic S1
0,0.3,200,0.964529298077837,S1 no Myopic
0,0.3,200,0.3732112097520999,SOFAI w/ Myopic S1
0,0.3,200,0.07398253231754118,SOFAI w/ no Myopic S1
0,0.6,200,0.964529298077837,S1 no Myopic
0,0.6,200,0.4311477372154418,SOFAI w/ Myopic S1
0,0.6,200,0.13646273654100893,SOFAI w/ no Myopic S1
0,0.9,200,0.964529298077837,S1 no Myopic
0,0.9,200,0.15827181251875178,SOFAI w/ Myopic S1
0,0.9,200,0.19670292263965855,SOFAI w/ no Myopic S1
0,0.1,200,0.8547133421292443,S1 no Myopic
0,0.1,200,0.8094218692200825,SOFAI w/ Myopic S1
0,0.1,200,0.8743029351616187,SOFAI w/ no Myopic S1
0,0.3,200,0.8547133421292443,S1 no Myopic
0,0.3,200,0.4489027036917622,SOFAI w/ Myopic S1
0,0.3,200,0.5928342759835656,SOFAI w/ no Myopic S1
0,0.6,200,0.8547133421292443,S1 no Myopic
0,0.6,200,0.8674326339192855,SOFAI w/ Myopic S1
0,0.6,200,0.6432329719000167,SOFAI w/ no Myopic S1
0,0.9,200,0.8547133421292443,S1 no Myopic
0,0.9,200,0.7466047452830284,SOFAI w/ Myopic S1
0,0.9,200,0.7902082374450577,SOFAI w/ no Myopic S1
0,0.1,200,0.9242177749137671,S1 no Myopic
0,0.1,200,0.30368132058860725,SOFAI w/ Myopic S1
0,0.1,200,0.09483418225392935,SOFAI w/ no Myopic S1
0,0.3,200,0.9242177749137671,S1 no Myopic
0,0.3,200,0.07411999532034744,SOFAI w/ Myopic S1
0,0.3,200,0.08135344740287767,SOFAI w/ no Myopic S1
0,0.6,200,0.9242177749137671,S1 no Myopic
0,0.6,200,0.23286944637544726,SOFAI w/ Myopic S1
0,0.6,200,0.3403023029215754,SOFAI w/ no Myopic S1
0,0.9,200,0.9242177749137671,S1 no Myopic
0,0.9,200,0.09654249791458519,SOFAI w/ Myopic S1
0,0.9,200,0.12197703934692354,SOFAI w/ no Myopic S1
0,0.1,200,0.8313943699161392,S1 no Myopic
0,0.1,200,0.15728375380628995,SOFAI w/ Myopic S1
0,0.1,200,0.14267796790858345,SOFAI w/ no Myopic S1
0,0.3,200,0.8313943699161392,S1 no Myopic
0,0.3,200,0.12171054013789726,SOFAI w/ Myopic S1
0,0.3,200,0.13419934069281703,SOFAI w/ no Myopic S1
0,0.6,200,0.8313943699161392,S1 no Myopic
0,0.6,200,0.13884388964583969,SOFAI w/ Myopic S1
0,0.6,200,0.13168105401369218,SOFAI w/ no Myopic S1
0,0.9,200,0.8313943699161392,S1 no Myopic
0,0.9,200,0.4684902230124639,SOFAI w/ Myopic S1
0,0.9,200,0.2639859384078489,SOFAI w/ no Myopic S1
0,0.1,200,0.8770092844304624,S1 no Myopic
0,0.1,200,0.6588022488901338,SOFAI w/ Myopic S1
0,0.1,200,0.4065078657350958,SOFAI w/ no Myopic S1
0,0.3,200,0.8770092844304624,S1 no Myopic
0,0.3,200,0.44205091529099416,SOFAI w/ Myopic S1
0,0.3,200,0.4995049386742153,SOFAI w/ no Myopic S1
0,0.6,200,0.8770092844304624,S1 no Myopic
0,0.6,200,0.1667755087609499,SOFAI w/ Myopic S1
0,0.6,200,0.6401990440626082,SOFAI w/ no Myopic S1
0,0.9,200,0.8770092844304624,S1 no Myopic
0,0.9,200,0.5253944859928925,SOFAI w/ Myopic S1
0,0.9,200,0.24981956967473065,SOFAI w/ no Myopic S1
0,0.1,200,0.9173395864303036,S1 no Myopic
0,0.1,200,0.7158173566413322,SOFAI w/ Myopic S1
0,0.1,200,0.19822885672044385,SOFAI w/ no Myopic S1
0,0.3,200,0.9173395864303036,S1 no Myopic
0,0.3,200,0.21844302885459682,SOFAI w/ Myopic S1
0,0.3,200,0.2519698619920693,SOFAI w/ no Myopic S1
0,0.6,200,0.9173395864303036,S1 no Myopic
0,0.6,200,0.5958016150516836,SOFAI w/ Myopic S1
0,0.6,200,0.3272592324119524,SOFAI w/ no Myopic S1
0,0.9,200,0.9173395864303036,S1 no Myopic
0,0.9,200,0.23764091876169596,SOFAI w/ Myopic S1
0,0.9,200,0.15527008305920836,SOFAI w/ no Myopic S1
0,0.1,200,0.9095956059505975,S1 no Myopic
0,0.1,200,0.22558594421694123,SOFAI w/ Myopic S1
0,0.1,200,0.2419865224570214,SOFAI w/ no Myopic S1
0,0.3,200,0.9095956059505975,S1 no Myopic
0,0.3,200,0.10725948874698629,SOFAI w/ Myopic S1
0,0.3,200,0.0764394490258955,SOFAI w/ no Myopic S1
0,0.6,200,0.9095956059505975,S1 no Myopic
0,0.6,200,0.0671182603235308,SOFAI w/ Myopic S1
0,0.6,200,0.6542812490411745,SOFAI w/ no Myopic S1
0,0.9,200,0.9095956059505975,S1 no Myopic
