,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
0,0,9.0,-31.798989873223334,349.5,null,0,0.0,0.0,0.0,0,nominal,9.0,-31.798989873223334,5.5,0.0,200,0.8,0,0,1,0.5,
0,0,20.0,-73.31370849898477,451.5,null,0,0.0,0.0,0.0,0,const,20.0,-73.31370849898477,0.0,0.0,200,0.8,0,0,1,0.5,
0,0,87.0,-1854.1076477383249,7.0,s1,7,0.08045977011494253,-1854.1076477383249,-21.31158215791178,87,S1 noMyopic,93.0,-2102.5929291125635,35.0,1.0,200,0.8,0,0,1,0.5,1.0
0,0,87.0,-1854.1076477383249,7.0,s2,0,,0.0,,0,S1 noMyopic,93.0,-2102.5929291125635,35.0,1.0,200,0.8,0,0,1,0.5,0.0
1,1,99.0,-2351.078210486802,37.0,s1,37,0.37373737373737376,-2351.078210486802,-23.74826475239194,99,S1 noMyopic,93.0,-2102.5929291125635,35.0,1.0,200,0.8,0,0,1,0.5,1.0
1,1,99.0,-2351.078210486802,37.0,s2,0,,0.0,,0,S1 noMyopic,93.0,-2102.5929291125635,35.0,1.0,200,0.8,0,0,1,0.5,0.0
0,0,137.0,-4602.96046148071,17.0,s1,17,0.12408759124087591,-4602.96046148071,-33.59825154365482,137,S1 Myopic,149.5,-3257.279220613579,55.0,1.0,200,0.8,0,0,1,0.5,1.0
0,0,137.0,-4602.96046148071,17.0,s2,0,,0.0,,0,S1 Myopic,149.5,-3257.279220613579,55.0,1.0,200,0.8,0,0,1,0.5,0.0
1,1,162.0,-1911.5979797464465,83.0,s1,83,0.5123456790123457,-1911.5979797464465,-11.799987529299052,162,S1 Myopic,149.5,-3257.279220613579,55.0,1.0,200,0.8,0,0,1,0.5,1.0
1,1,162.0,-1911.5979797464465,83.0,s2,0,,0.0,,0,S1 Myopic,149.5,-3257.279220613579,55.0,1.0,200,0.8,0,0,1,0.5,0.0
0,0,12.0,-38.0,222.0,s1,0,,0.0,,0,S2,13.5,-44.0,0.0,0.0,200,0.8,0,0,1,0.5,0.0
0,0,12.0,-38.0,222.0,s2,222,18.5,-38.0,-3.1666666666666665,12,S2,13.5,-44.0,0.0,0.0,200,0.8,0,0,1,0.5,1.0
1,1,15.0,-50.0,270.0,s1,0,,0.0,,0,S2,13.5,-44.0,0.0,0.0,200,0.8,0,0,1,0.5,0.0
1,1,15.0,-50.0,270.0,s2,270,18.0,-50.0,-3.3333333333333335,15,S2,13.5,-44.0,0.0,0.0,200,0.8,0,0,1,0.5,1.0
0,0,14.0,-46.0,268.0,s1,0,,0.0,,0,SOFAI w/ Myopic S1,13.5,-69.0,0.5,0.0,200,0.8,0,0,1,0.5,0.0
0,0,14.0,-46.0,268.0,s2,268,19.142857142857142,-46.0,-3.2857142857142856,14,SOFAI w/ Myopic S1,13.5,-69.0,0.5,0.0,200,0.8,0,0,1,0.5,1.0
1,1,13.0,-92.0,230.0,s1,0,,0.0,,0,SOFAI w/ Myopic S1,13.5,-69.0,0.5,0.0,200,0.8,0,0,1,0.5,0.0
1,1,13.0,-92.0,230.0,s2,230,17.692307692307693,-92.0,-7.076923076923077,13,SOFAI w/ Myopic S1,13.5,-69.0,0.5,0.0,200,0.8,0,0,1,0.5,1.0
0,0,120.0,-2669.4213562373097,290.0,s1,12,0.1111111111111111,-2621.4213562373097,-24.272419965160275,108,SOFAI w/ no Myopic S1,64.5,-1535.7106781186549,26.5,0.0,200,0.8,0,0,1,0.5,0.9
0,0,120.0,-2669.4213562373097,290.0,s2,278,23.166666666666668,-48.0,-4.0,12,SOFAI w/ no Myopic S1,64.5,-1535.7106781186549,26.5,0.0,200,0.8,0,0,1,0.5,0.1
1,1,9.0,-402.0,161.0,s1,0,,0.0,,0,SOFAI w/ no Myopic S1,64.5,-1535.7106781186549,26.5,0.0,200,0.8,0,0,1,0.5,0.0
1,1,9.0,-402.0,161.0,s2,161,17.88888888888889,-402.0,-44.666666666666664,9,SOFAI w/ no Myopic S1,64.5,-1535.7106781186549,26.5,0.0,200,0.8,0,0,1,0.5,1.0
