,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,viol_constr,perc_usage
0,0,10.098,-454.2115457403029,6.666,null,0,0.0,0.0,0.0,0,nominal,10.098,-454.2115457403029,8.802,0,200,0.8,0.0,0,1,0.5,,
0,0,58.906,-312.86732628187787,6.666,null,0,0.0,0.0,0.0,0,const,58.906,-312.86732628187787,1.182,0,200,0.8,0.0,0,1,0.5,,
0,0,49.0,-242.6274169979695,1598.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
0,0,49.0,-242.6274169979695,1598.0,s2,1598,32.61224489795919,-242.6274169979695,-4.9515799387340715,49,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
1,1,14.0,-147.65685424949237,745.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
1,1,14.0,-147.65685424949237,745.0,s2,745,53.214285714285715,-147.65685424949237,-10.546918160678027,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
2,2,15.0,-196.97056274847714,717.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
2,2,15.0,-196.97056274847714,717.0,s2,717,47.8,-196.97056274847714,-13.131370849898476,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
3,3,16.0,-157.31370849898477,539.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
3,3,16.0,-157.31370849898477,539.0,s2,539,33.6875,-157.31370849898477,-9.832106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
4,4,15.0,-149.31370849898477,448.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
4,4,15.0,-149.31370849898477,448.0,s2,448,29.866666666666667,-149.31370849898477,-9.95424723326565,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
5,5,54.0,-262.62741699796953,1998.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
5,5,54.0,-262.62741699796953,1998.0,s2,1998,37.0,-262.62741699796953,-4.8634706851475835,54,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
6,6,13.0,-141.31370849898474,381.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
6,6,13.0,-141.31370849898474,381.0,s2,381,29.307692307692307,-141.31370849898474,-10.870285269152673,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
7,7,16.0,-107.31370849898477,618.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
7,7,16.0,-107.31370849898477,618.0,s2,618,38.625,-107.31370849898477,-6.707106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
8,8,14.0,-149.31370849898477,618.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
8,8,14.0,-149.31370849898477,618.0,s2,618,44.142857142857146,-149.31370849898477,-10.665264892784625,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
9,9,14.0,-99.31370849898477,946.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
9,9,14.0,-99.31370849898477,946.0,s2,946,67.57142857142857,-99.31370849898477,-7.093836321356055,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
10,10,15.0,-103.31370849898477,703.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
10,10,15.0,-103.31370849898477,703.0,s2,703,46.86666666666667,-103.31370849898477,-6.887580566598984,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
11,11,15.0,-100.97056274847715,658.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
11,11,15.0,-100.97056274847715,658.0,s2,658,43.86666666666667,-100.97056274847715,-6.731370849898477,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
12,12,19.0,-119.31370849898477,645.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
12,12,19.0,-119.31370849898477,645.0,s2,645,33.94736842105263,-119.31370849898477,-6.27966886836762,19,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
13,13,18.0,-165.31370849898474,779.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
13,13,18.0,-165.31370849898474,779.0,s2,779,43.27777777777778,-165.31370849898474,-9.184094916610263,18,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
14,14,20.0,-217.65685424949237,519.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
14,14,20.0,-217.65685424949237,519.0,s2,519,25.95,-217.65685424949237,-10.882842712474618,20,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
15,15,16.0,-107.31370849898477,473.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
15,15,16.0,-107.31370849898477,473.0,s2,473,29.5625,-107.31370849898477,-6.707106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
16,16,15.0,-101.65685424949238,408.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
16,16,15.0,-101.65685424949238,408.0,s2,408,27.2,-101.65685424949238,-6.777123616632825,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
17,17,18.0,-162.0,490.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
17,17,18.0,-162.0,490.0,s2,490,27.22222222222222,-162.0,-9.0,18,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
18,18,17.0,-105.65685424949238,466.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
18,18,17.0,-105.65685424949238,466.0,s2,466,27.41176470588235,-105.65685424949238,-6.215109073499552,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
19,19,14.0,-100.97056274847715,358.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
19,19,14.0,-100.97056274847715,358.0,s2,358,25.571428571428573,-100.97056274847715,-7.212183053462653,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
20,20,15.0,-104.97056274847715,404.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
