,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
0,0,32.77,-134.5603188823005,0,null,0,0.0,0.0,0.0,0,const,32.77,-134.5603188823005,0.175,0.0,200,0.8,0.0,0,1,0.5,
0,0,61.0,-353.88225099390854,75,s1,75,1.2295081967213115,-353.88225099390854,-5.801348376949321,61,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
0,0,61.0,-353.88225099390854,75,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
1,1,119.0,-581.9797974644666,161,s1,161,1.3529411764705883,-581.9797974644666,-4.8905865333148455,119,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
1,1,119.0,-581.9797974644666,161,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
2,2,18.0,-70.2842712474619,32,s1,32,1.7777777777777777,-70.2842712474619,-3.904681735970106,18,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
2,2,18.0,-70.2842712474619,32,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
3,3,34.0,-145.88225099390854,51,s1,51,1.5,-145.88225099390854,-4.29065444099731,34,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
3,3,34.0,-145.88225099390854,51,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
4,4,92.0,-477.2935059634515,269,s1,269,2.9239130434782608,-477.2935059634515,-5.187972890907082,92,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
4,4,92.0,-477.2935059634515,269,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
5,5,152.0,-601.3137084989847,249,s1,249,1.638157894736842,-601.3137084989847,-3.9560112401248997,152,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
5,5,152.0,-601.3137084989847,249,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
6,6,48.0,-233.65685424949237,91,s1,91,1.8958333333333333,-233.65685424949237,-4.867851130197757,48,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
6,6,48.0,-233.65685424949237,91,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
7,7,23.0,-96.91168824543142,52,s1,52,2.260869565217391,-96.91168824543142,-4.213551662844845,23,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
7,7,23.0,-96.91168824543142,52,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
8,8,83.0,-423.65685424949237,194,s1,194,2.3373493975903616,-423.65685424949237,-5.104299448789065,83,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
8,8,83.0,-423.65685424949237,194,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
9,9,85.0,-409.5290039756343,140,s1,140,1.6470588235294117,-409.5290039756343,-4.817988282066286,85,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
9,9,85.0,-409.5290039756343,140,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
10,10,17.0,-58.0,23,s1,23,1.3529411764705883,-58.0,-3.411764705882353,17,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
10,10,17.0,-58.0,23,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
11,11,20.0,-170.0,20,s1,20,1.0,-170.0,-8.5,20,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
11,11,20.0,-170.0,20,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
12,12,32.0,-121.31370849898477,60,s1,60,1.875,-121.31370849898477,-3.791053390593274,32,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
12,12,32.0,-121.31370849898477,60,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
13,13,13.0,-43.65685424949238,18,s1,18,1.3846153846153846,-43.65685424949238,-3.35821955765326,13,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
13,13,13.0,-43.65685424949238,18,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
14,14,107.0,-418.0,332,s1,332,3.102803738317757,-418.0,-3.9065420560747666,107,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
14,14,107.0,-418.0,332,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
15,15,80.0,-311.65685424949237,255,s1,255,3.1875,-311.65685424949237,-3.895710678118655,80,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
15,15,80.0,-311.65685424949237,255,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
16,16,14.0,-46.0,30,s1,30,2.142857142857143,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
16,16,14.0,-46.0,30,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
17,17,16.0,-54.0,32,s1,32,2.0,-54.0,-3.375,16,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
17,17,16.0,-54.0,32,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
18,18,13.0,-42.0,29,s1,29,2.230769230769231,-42.0,-3.230769230769231,13,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
18,18,13.0,-42.0,29,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
19,19,14.0,-46.0,33,s1,33,2.357142857142857,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
19,19,14.0,-46.0,33,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
20,20,17.0,-58.0,25,s1,25,1.4705882352941178,-58.0,-3.411764705882353,17,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
20,20,17.0,-58.0,25,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
21,21,16.0,-54.0,19,s1,19,1.1875,-54.0,-3.375,16,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
21,21,16.0,-54.0,19,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
22,22,14.0,-46.0,236,s1,236,16.857142857142858,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
22,22,14.0,-46.0,236,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
23,23,14.0,-46.0,115,s1,115,8.214285714285714,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
23,23,14.0,-46.0,115,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
24,24,14.0,-46.0,51,s1,51,3.642857142857143,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
24,24,14.0,-46.0,51,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
25,25,15.0,-50.0,104,s1,104,6.933333333333334,-50.0,-3.3333333333333335,15,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
25,25,15.0,-50.0,104,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
26,26,13.0,-42.0,70,s1,70,5.384615384615385,-42.0,-3.230769230769231,13,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
26,26,13.0,-42.0,70,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
27,27,14.0,-46.0,61,s1,61,4.357142857142857,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
27,27,14.0,-46.0,61,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
28,28,22.0,-128.0,37,s1,37,1.6818181818181819,-128.0,-5.818181818181818,22,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
28,28,22.0,-128.0,37,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
29,29,14.0,-46.0,45,s1,45,3.2142857142857144,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
29,29,14.0,-46.0,45,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
30,30,14.0,-46.0,20,s1,20,1.4285714285714286,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
30,30,14.0,-46.0,20,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
31,31,16.0,-104.0,21,s1,21,1.3125,-104.0,-6.5,16,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
31,31,16.0,-104.0,21,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
32,32,14.0,-46.0,19,s1,19,1.3571428571428572,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
32,32,14.0,-46.0,19,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
33,33,14.0,-46.0,20,s1,20,1.4285714285714286,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
33,33,14.0,-46.0,20,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
34,34,15.0,-50.0,23,s1,23,1.5333333333333334,-50.0,-3.3333333333333335,15,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
34,34,15.0,-50.0,23,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
35,35,16.0,-54.0,57,s1,57,3.5625,-54.0,-3.375,16,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
35,35,16.0,-54.0,57,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
36,36,17.0,-59.65685424949238,27,s1,27,1.588235294117647,-59.65685424949238,-3.5092267205583756,17,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
36,36,17.0,-59.65685424949238,27,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
37,37,14.0,-46.0,20,s1,20,1.4285714285714286,-46.0,-3.2857142857142856,14,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
37,37,14.0,-46.0,20,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
38,38,20.0,-70.0,31,s1,31,1.55,-70.0,-3.5,20,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,1.0
38,38,20.0,-70.0,31,s2,0,,0.0,,0,s1,16.661,-69.34239855404651,0.241,1.0,200,0.8,0.0,0,1,0.5,0.0
