"Road 2: (10, 0)","Road 3: (52, 0)","Road 6: (17, 100)"
"Road 1: (5, 0)","Road 2: (8, 2)","Road 3: (53, 96)","Road 5: (8, 0)","Road 6: (13, 1)"
"Road 1: (6, 0)","Road 2: (6, 14)","Road 3: (54, 58)","Road 5: (10, 0)","Road 6: (10, 1)"
"Road 1: (8, 29)","Road 2: (5, 34)","Road 3: (53, 10)","Road 5: (14, 0)","Road 6: (7, 0)"
"Road 1: (10, 11)","Road 2: (4, 58)","Road 3: (50, 0)","Road 5: (17, 0)","Road 6: (5, 6)"
"Road 1: (14, 5)","Road 2: (4, 58)","Road 3: (45, 8)","Road 5: (20, 0)","Road 6: (3, 8)"
"Road 1: (18, 6)","Road 2: (3, 39)","Road 3: (39, 15)","Road 5: (22, 0)","Road 6: (3, 9)"
"Road 1: (22, 13)","Road 2: (4, 27)","Road 3: (33, 23)","Road 5: (22, 0)","Road 6: (2, 6)"
"Road 1: (23, 19)","Road 3: (29, 24)","Road 5: (18, 0)"
"Road 2: (8, 4)","Road 3: (59, 0)","Road 4: (0, 0)","Road 6: (22, 95)","Road 8: (0, 0)"
"Road 1: (3, 0)","Road 2: (6, 0)","Road 3: (63, 99)","Road 4: (0, 0)","Road 5: (8, 0)","Road 6: (17, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (4, 96)","Road 2: (4, 0)","Road 3: (65, 0)","Road 4: (0, 2)","Road 5: (12, 0)","Road 6: (11, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (6, 69)","Road 2: (3, 0)","Road 3: (63, 0)","Road 4: (0, 17)","Road 5: (17, 0)","Road 6: (7, 7)","Road 7: (0, 0)","Road 8: (0, 6)"
"Road 1: (9, 6)","Road 2: (2, 33)","Road 3: (58, 23)","Road 4: (0, 21)","Road 5: (23, 0)","Road 6: (5, 0)","Road 7: (0, 0)","Road 8: (0, 15)"
"Road 1: (12, 0)","Road 2: (2, 50)","Road 3: (50, 0)","Road 4: (1, 21)","Road 5: (29, 0)","Road 6: (3, 10)","Road 7: (0, 0)","Road 8: (0, 17)"
"Road 1: (17, 3)","Road 2: (2, 40)","Road 3: (42, 13)","Road 4: (1, 23)","Road 5: (32, 0)","Road 6: (2, 10)","Road 7: (0, 0)","Road 8: (0, 8)"
"Road 1: (23, 8)","Road 2: (2, 28)","Road 3: (35, 26)","Road 4: (2, 22)","Road 5: (32, 0)","Road 6: (2, 8)","Road 7: (1, 0)","Road 8: (0, 5)"
"Road 1: (25, 17)","Road 3: (30, 29)","Road 4: (3, 20)","Road 5: (25, 0)","Road 7: (1, 0)"
"Road 2: (7, 0)","Road 3: (59, 93)","Road 4: (0, 0)","Road 6: (26, 6)","Road 8: (0, 0)"
"Road 1: (2, 0)","Road 2: (4, 0)","Road 3: (65, 99)","Road 4: (0, 0)","Road 5: (7, 0)","Road 6: (19, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
