,t3,t4,jsdiv,type
0,0.1,200,0.09765965687931535,SOFAI w/ S1 ra=0.0
0,0.1,200,0.14335413403085462,SOFAI w/ S1 ra=0.25
0,0.1,200,0.13473456307225434,SOFAI w/ S1 ra=0.5
0,0.1,200,0.20731047514164896,SOFAI w/ S1 ra=0.75
0,0.1,200,0.3366499939480031,SOFAI w/ S1 ra=1.0
0,0.3,200,0.07561808410859303,SOFAI w/ S1 ra=0.0
0,0.3,200,0.12227525468193354,SOFAI w/ S1 ra=0.25
0,0.3,200,0.12897841740405108,SOFAI w/ S1 ra=0.5
0,0.3,200,0.12143582273244968,SOFAI w/ S1 ra=0.75
0,0.3,200,0.15936574165514805,SOFAI w/ S1 ra=1.0
0,0.6,200,0.08874166504216635,SOFAI w/ S1 ra=0.0
0,0.6,200,0.11117095931671032,SOFAI w/ S1 ra=0.25
0,0.6,200,0.18751402910263512,SOFAI w/ S1 ra=0.5
0,0.6,200,0.27268869384773553,SOFAI w/ S1 ra=0.75
0,0.6,200,0.1176014102071303,SOFAI w/ S1 ra=1.0
0,0.9,200,0.06399288260166328,SOFAI w/ S1 ra=0.0
0,0.9,200,0.07782725134404839,SOFAI w/ S1 ra=0.25
0,0.9,200,0.14106464139595493,SOFAI w/ S1 ra=0.5
0,0.9,200,0.17216983913925504,SOFAI w/ S1 ra=0.75
0,0.9,200,0.09955035954685668,SOFAI w/ S1 ra=1.0
