,t3,t4,jsdiv,type
0,0.4,0,0.9053051700026393,s1_nb
0,0.4,0,0.35233182107870975,01
0,0.4,0,0.4705081397514085,10
0,0.4,0,0.6343899105209659,02
0,0.4,0,0.897923683738673,s1_nb
0,0.4,0,0.05232639357150774,01
0,0.4,0,0.056796865809533914,10
0,0.4,0,0.046160520806996494,02
0,0.4,0,0.982361522905904,s1_nb
0,0.4,0,0.03820921697383982,01
0,0.4,0,0.6753147425230887,10
0,0.4,0,0.0597467605663021,02
0,0.4,0,0.8851578318271878,s1_nb
0,0.4,0,0.09421927606609182,01
0,0.4,0,0.2501536414358255,10
0,0.4,0,0.10600785101159949,02
0,0.4,0,0.8861566251557907,s1_nb
0,0.4,0,0.2563875257350039,01
0,0.4,0,0.6487066983866117,10
0,0.4,0,0.810377227189711,02
0,0.4,0,0.9808343890849225,s1_nb
0,0.4,0,0.034477315435616676,01
0,0.4,0,0.848261608546661,10
0,0.4,0,0.029704722952404172,02
0,0.4,0,0.949349474041737,s1_nb
0,0.4,0,0.05863296206515388,01
0,0.4,0,0.5060309814579935,10
0,0.4,0,0.04246381344841106,02
0,0.4,0,0.9749933308862103,s1_nb
0,0.4,0,0.5256958298188883,01
0,0.4,0,0.6581744948777275,10
0,0.4,0,0.2855121027644626,02
0,0.4,0,0.9328574544017537,s1_nb
0,0.4,0,0.6476655169301379,01
0,0.4,0,0.7017541225827721,10
0,0.4,0,0.7754477395836094,02
0,0.4,0,0.9346551464913131,s1_nb
0,0.4,0,0.02910485219730478,01
0,0.4,0,0.8284985789781982,10
0,0.4,0,0.1312211379899124,02
