,t3,t4,jsdiv,type
0,0.1,200,0.19601807692530915,SOFAI w/ S1 ra=0.0
0,0.1,200,0.18467819610170327,SOFAI w/ S1 ra=0.25
0,0.1,200,0.20307971582362827,SOFAI w/ S1 ra=0.5
0,0.1,200,0.1449792419179843,SOFAI w/ S1 ra=0.75
0,0.1,200,0.18287054233804306,SOFAI w/ S1 ra=1.0
0,0.3,200,0.13850329085039118,SOFAI w/ S1 ra=0.0
0,0.3,200,0.20052413603283162,SOFAI w/ S1 ra=0.25
0,0.3,200,0.20068220777013923,SOFAI w/ S1 ra=0.5
0,0.3,200,0.20982647742110938,SOFAI w/ S1 ra=0.75
0,0.3,200,0.2239099821838189,SOFAI w/ S1 ra=1.0
0,0.6,200,0.13405880554781663,SOFAI w/ S1 ra=0.0
0,0.6,200,0.11050335070942792,SOFAI w/ S1 ra=0.25
0,0.6,200,0.10928707535705176,SOFAI w/ S1 ra=0.5
0,0.6,200,0.1800637559246866,SOFAI w/ S1 ra=0.75
0,0.6,200,0.1494241252707996,SOFAI w/ S1 ra=1.0
0,0.9,200,0.1501464349039825,SOFAI w/ S1 ra=0.0
0,0.9,200,0.12959421912338803,SOFAI w/ S1 ra=0.25
0,0.9,200,0.1679424919274779,SOFAI w/ S1 ra=0.5
0,0.9,200,0.17430391680361582,SOFAI w/ S1 ra=0.75
0,0.9,200,0.10760367420595879,SOFAI w/ S1 ra=1.0
0,0.1,200,0.08949793504596658,SOFAI w/ S1 ra=0.0
0,0.1,200,0.09679384886903884,SOFAI w/ S1 ra=0.25
0,0.1,200,0.058217633425144105,SOFAI w/ S1 ra=0.5
0,0.1,200,0.07182993638236362,SOFAI w/ S1 ra=0.75
0,0.1,200,0.0844335644607244,SOFAI w/ S1 ra=1.0
0,0.3,200,0.19849419734513712,SOFAI w/ S1 ra=0.0
0,0.3,200,0.06656109906145248,SOFAI w/ S1 ra=0.25
0,0.3,200,0.06357920488024243,SOFAI w/ S1 ra=0.5
0,0.3,200,0.12103815080391858,SOFAI w/ S1 ra=0.75
0,0.3,200,0.0971486583660251,SOFAI w/ S1 ra=1.0
0,0.6,200,0.07368693934321935,SOFAI w/ S1 ra=0.0
0,0.6,200,0.12131655573007472,SOFAI w/ S1 ra=0.25
0,0.6,200,0.07621906089726459,SOFAI w/ S1 ra=0.5
0,0.6,200,0.06824362345003111,SOFAI w/ S1 ra=0.75
0,0.6,200,0.07960942493876244,SOFAI w/ S1 ra=1.0
0,0.9,200,0.13632127113787884,SOFAI w/ S1 ra=0.0
0,0.9,200,0.08059912176697424,SOFAI w/ S1 ra=0.25
0,0.9,200,0.06192786114895625,SOFAI w/ S1 ra=0.5
0,0.9,200,0.091965126791883,SOFAI w/ S1 ra=0.75
0,0.9,200,0.10765657361068293,SOFAI w/ S1 ra=1.0
0,0.1,200,0.06161771399476923,SOFAI w/ S1 ra=0.0
0,0.1,200,0.09980708526276949,SOFAI w/ S1 ra=0.25
0,0.1,200,0.15614115089091957,SOFAI w/ S1 ra=0.5
0,0.1,200,0.08328703407309526,SOFAI w/ S1 ra=0.75
0,0.1,200,0.07481983836855363,SOFAI w/ S1 ra=1.0
0,0.3,200,0.06701438247986098,SOFAI w/ S1 ra=0.0
0,0.3,200,0.09314381920128403,SOFAI w/ S1 ra=0.25
0,0.3,200,0.04911501980467638,SOFAI w/ S1 ra=0.5
0,0.3,200,0.051805924000881465,SOFAI w/ S1 ra=0.75
0,0.3,200,0.042763892727925225,SOFAI w/ S1 ra=1.0
