,t3,t4,jsdiv,type
0,0.1,200,0.8720640583764109,S1 no Myopic
0,0.1,200,0.8992112027597281,S1 Myopic
0,0.1,200,0.20142034455980162,SOFAI w/ Myopic S1
0,0.1,200,0.22122669925937405,SOFAI w/ no Myopic S1
0,0.3,200,0.8720640583764109,S1 no Myopic
0,0.3,200,0.8992112027597281,S1 Myopic
0,0.3,200,0.11599231442034214,SOFAI w/ Myopic S1
0,0.3,200,0.22154808994972686,SOFAI w/ no Myopic S1
0,0.6,200,0.8720640583764109,S1 no Myopic
0,0.6,200,0.8992112027597281,S1 Myopic
0,0.6,200,0.1443831534146851,SOFAI w/ Myopic S1
0,0.6,200,0.8067440987430898,SOFAI w/ no Myopic S1
0,0.9,200,0.8720640583764109,S1 no Myopic
0,0.9,200,0.8992112027597281,S1 Myopic
0,0.9,200,0.3025980357468172,SOFAI w/ Myopic S1
0,0.9,200,0.7826433496563148,SOFAI w/ no Myopic S1
0,0.1,200,0.8804942557101529,S1 no Myopic
0,0.1,200,0.890924923120895,S1 Myopic
0,0.1,200,0.0998398357746523,SOFAI w/ Myopic S1
0,0.1,200,0.7895164788853473,SOFAI w/ no Myopic S1
0,0.3,200,0.8804942557101529,S1 no Myopic
0,0.3,200,0.890924923120895,S1 Myopic
0,0.3,200,0.3132712362821446,SOFAI w/ Myopic S1
0,0.3,200,0.6855034303678709,SOFAI w/ no Myopic S1
0,0.6,200,0.8804942557101529,S1 no Myopic
0,0.6,200,0.890924923120895,S1 Myopic
0,0.6,200,0.0481244091008205,SOFAI w/ Myopic S1
0,0.6,200,0.20694992166038034,SOFAI w/ no Myopic S1
0,0.9,200,0.8804942557101529,S1 no Myopic
0,0.9,200,0.890924923120895,S1 Myopic
0,0.9,200,0.15545741188410322,SOFAI w/ Myopic S1
0,0.9,200,0.3441414286293274,SOFAI w/ no Myopic S1
0,0.1,200,0.70255661290836,S1 no Myopic
0,0.1,200,0.920583767161494,S1 Myopic
0,0.1,200,0.1505796508032682,SOFAI w/ Myopic S1
0,0.1,200,0.7176182727245148,SOFAI w/ no Myopic S1
0,0.3,200,0.70255661290836,S1 no Myopic
0,0.3,200,0.920583767161494,S1 Myopic
0,0.3,200,0.09141029349577935,SOFAI w/ Myopic S1
0,0.3,200,0.039096818557968815,SOFAI w/ no Myopic S1
0,0.6,200,0.70255661290836,S1 no Myopic
0,0.6,200,0.920583767161494,S1 Myopic
0,0.6,200,0.06758632509173151,SOFAI w/ Myopic S1
0,0.6,200,0.033596859056979775,SOFAI w/ no Myopic S1
0,0.9,200,0.70255661290836,S1 no Myopic
0,0.9,200,0.920583767161494,S1 Myopic
0,0.9,200,0.03478318814701688,SOFAI w/ Myopic S1
0,0.9,200,0.040024919091658964,SOFAI w/ no Myopic S1
0,0.1,200,0.8083922978556727,S1 no Myopic
0,0.1,200,0.971660550079178,S1 Myopic
0,0.1,200,0.07021170753355205,SOFAI w/ Myopic S1
0,0.1,200,0.056967805856118214,SOFAI w/ no Myopic S1
0,0.3,200,0.8083922978556727,S1 no Myopic
0,0.3,200,0.971660550079178,S1 Myopic
0,0.3,200,0.08038585312152852,SOFAI w/ Myopic S1
0,0.3,200,0.04089258865729643,SOFAI w/ no Myopic S1
0,0.6,200,0.8083922978556727,S1 no Myopic
0,0.6,200,0.971660550079178,S1 Myopic
0,0.6,200,0.11626511780407657,SOFAI w/ Myopic S1
0,0.6,200,0.03646178741997831,SOFAI w/ no Myopic S1
0,0.9,200,0.8083922978556727,S1 no Myopic
0,0.9,200,0.971660550079178,S1 Myopic
0,0.9,200,0.1832774387309833,SOFAI w/ Myopic S1
0,0.9,200,0.029157422278625195,SOFAI w/ no Myopic S1
0,0.1,200,0.8042871828686216,S1 no Myopic
0,0.1,200,0.7412049225627863,S1 Myopic
0,0.1,200,0.1892949258807243,SOFAI w/ Myopic S1
0,0.1,200,0.43516194171806494,SOFAI w/ no Myopic S1
0,0.3,200,0.8042871828686216,S1 no Myopic
0,0.3,200,0.7412049225627863,S1 Myopic
0,0.3,200,0.12390337994594314,SOFAI w/ Myopic S1
0,0.3,200,0.6652547907462727,SOFAI w/ no Myopic S1
0,0.6,200,0.8042871828686216,S1 no Myopic
0,0.6,200,0.7412049225627863,S1 Myopic
0,0.6,200,0.10958798598732936,SOFAI w/ Myopic S1
0,0.6,200,0.5755291682966637,SOFAI w/ no Myopic S1
0,0.9,200,0.8042871828686216,S1 no Myopic
0,0.9,200,0.7412049225627863,S1 Myopic
0,0.9,200,0.15679295025054896,SOFAI w/ Myopic S1
0,0.9,200,0.5377624687983846,SOFAI w/ no Myopic S1
0,0.1,200,0.9594151688998991,S1 no Myopic
0,0.1,200,0.9544180326698811,S1 Myopic
0,0.1,200,0.1003902412140218,SOFAI w/ Myopic S1
0,0.1,200,0.23958049661890796,SOFAI w/ no Myopic S1
0,0.3,200,0.9594151688998991,S1 no Myopic
