,t3,t4,jsdiv,type
0,0.1,200,0.9243513826452135,S1 no Myopic
0,0.1,200,0.9263232453824655,S1 Myopic
0,0.1,200,0.4444345096504215,SOFAI w/ Myopic S1
0,0.1,200,0.5186382834398333,SOFAI w/ no Myopic S1
0,0.3,200,0.9243513826452135,S1 no Myopic
0,0.3,200,0.9263232453824655,S1 Myopic
0,0.3,200,0.3280835512197018,SOFAI w/ Myopic S1
0,0.3,200,0.8001222227483873,SOFAI w/ no Myopic S1
0,0.6,200,0.9243513826452135,S1 no Myopic
0,0.6,200,0.9263232453824655,S1 Myopic
0,0.6,200,0.28953592338217743,SOFAI w/ Myopic S1
0,0.6,200,0.8285960541059392,SOFAI w/ no Myopic S1
0,0.9,200,0.9243513826452135,S1 no Myopic
0,0.9,200,0.9263232453824655,S1 Myopic
0,0.9,200,0.3641685019013682,SOFAI w/ Myopic S1
0,0.9,200,0.4292682295695864,SOFAI w/ no Myopic S1
0,0.1,200,0.8847562487330105,S1 no Myopic
0,0.1,200,0.8098139865188096,S1 Myopic
0,0.1,200,0.3193939144290154,SOFAI w/ Myopic S1
0,0.1,200,0.7094878497241008,SOFAI w/ no Myopic S1
0,0.3,200,0.8847562487330105,S1 no Myopic
0,0.3,200,0.8098139865188096,S1 Myopic
0,0.3,200,0.2685564131469285,SOFAI w/ Myopic S1
0,0.3,200,0.4430264493208948,SOFAI w/ no Myopic S1
0,0.6,200,0.8847562487330105,S1 no Myopic
0,0.6,200,0.8098139865188096,S1 Myopic
0,0.6,200,0.18016275325491876,SOFAI w/ Myopic S1
0,0.6,200,0.4446924034332319,SOFAI w/ no Myopic S1
0,0.9,200,0.8847562487330105,S1 no Myopic
0,0.9,200,0.8098139865188096,S1 Myopic
0,0.9,200,0.1923972977555488,SOFAI w/ Myopic S1
0,0.9,200,0.5106602233512534,SOFAI w/ no Myopic S1
0,0.1,200,0.9467379683521278,S1 no Myopic
0,0.1,200,0.8813257776956185,S1 Myopic
0,0.1,200,0.1472589286777378,SOFAI w/ Myopic S1
0,0.1,200,0.09672678561192252,SOFAI w/ no Myopic S1
0,0.3,200,0.9467379683521278,S1 no Myopic
0,0.3,200,0.8813257776956185,S1 Myopic
0,0.3,200,0.12295613141280468,SOFAI w/ Myopic S1
0,0.3,200,0.13122865345768944,SOFAI w/ no Myopic S1
0,0.6,200,0.9467379683521278,S1 no Myopic
0,0.6,200,0.8813257776956185,S1 Myopic
0,0.6,200,0.03361186827053653,SOFAI w/ Myopic S1
0,0.6,200,0.14575353430622323,SOFAI w/ no Myopic S1
0,0.9,200,0.9467379683521278,S1 no Myopic
0,0.9,200,0.8813257776956185,S1 Myopic
0,0.9,200,0.03372420678664066,SOFAI w/ Myopic S1
0,0.9,200,0.14617571974266733,SOFAI w/ no Myopic S1
0,0.1,200,0.9195182328995967,S1 no Myopic
0,0.1,200,0.9125165481525371,S1 Myopic
0,0.1,200,0.5012925756782094,SOFAI w/ Myopic S1
0,0.1,200,0.8891331498084121,SOFAI w/ no Myopic S1
0,0.3,200,0.9195182328995967,S1 no Myopic
0,0.3,200,0.9125165481525371,S1 Myopic
0,0.3,200,0.3561425038761094,SOFAI w/ Myopic S1
0,0.3,200,0.9354650677502849,SOFAI w/ no Myopic S1
0,0.6,200,0.9195182328995967,S1 no Myopic
0,0.6,200,0.9125165481525371,S1 Myopic
0,0.6,200,0.4750427348084314,SOFAI w/ Myopic S1
0,0.6,200,0.737387799370476,SOFAI w/ no Myopic S1
0,0.9,200,0.9195182328995967,S1 no Myopic
0,0.9,200,0.9125165481525371,S1 Myopic
0,0.9,200,0.46037733104479717,SOFAI w/ Myopic S1
0,0.9,200,0.3855842313883054,SOFAI w/ no Myopic S1
0,0.1,200,0.9048958153569486,S1 no Myopic
0,0.1,200,0.9116727878782622,S1 Myopic
0,0.1,200,0.07791523860743309,SOFAI w/ Myopic S1
0,0.1,200,0.17292049094454676,SOFAI w/ no Myopic S1
0,0.3,200,0.9048958153569486,S1 no Myopic
0,0.3,200,0.9116727878782622,S1 Myopic
0,0.3,200,0.03386422776719678,SOFAI w/ Myopic S1
0,0.3,200,0.261173506019717,SOFAI w/ no Myopic S1
0,0.6,200,0.9048958153569486,S1 no Myopic
0,0.6,200,0.9116727878782622,S1 Myopic
0,0.6,200,0.02794498666042592,SOFAI w/ Myopic S1
0,0.6,200,0.14736278520918364,SOFAI w/ no Myopic S1
0,0.9,200,0.9048958153569486,S1 no Myopic
0,0.9,200,0.9116727878782622,S1 Myopic
0,0.9,200,0.029073855586954384,SOFAI w/ Myopic S1
0,0.9,200,0.030231524713119656,SOFAI w/ no Myopic S1
0,0.1,200,0.7890084781711106,S1 no Myopic
0,0.1,200,0.7134650421624041,S1 Myopic
0,0.1,200,0.23242066324136662,SOFAI w/ Myopic S1
0,0.1,200,0.7579930783269196,SOFAI w/ no Myopic S1
0,0.3,200,0.7890084781711106,S1 no Myopic
0,0.3,200,0.7134650421624041,S1 Myopic
0,0.3,200,0.1848027052540908,SOFAI w/ Myopic S1
0,0.3,200,0.8143256705320959,SOFAI w/ no Myopic S1
0,0.6,200,0.7890084781711106,S1 no Myopic
0,0.6,200,0.7134650421624041,S1 Myopic
0,0.6,200,0.39921683972544103,SOFAI w/ Myopic S1
0,0.6,200,0.6737690500200062,SOFAI w/ no Myopic S1
0,0.9,200,0.7890084781711106,S1 no Myopic
0,0.9,200,0.7134650421624041,S1 Myopic
0,0.9,200,0.3381042343072701,SOFAI w/ Myopic S1
0,0.9,200,0.5506697743923568,SOFAI w/ no Myopic S1
0,0.1,200,0.8690060473700655,S1 no Myopic
0,0.1,200,0.9392312327462533,S1 Myopic
0,0.1,200,0.14241427044835428,SOFAI w/ Myopic S1
0,0.1,200,0.03691129601595088,SOFAI w/ no Myopic S1
0,0.3,200,0.8690060473700655,S1 no Myopic
0,0.3,200,0.9392312327462533,S1 Myopic
0,0.3,200,0.03150869571547973,SOFAI w/ Myopic S1
0,0.3,200,0.03607892768071469,SOFAI w/ no Myopic S1
0,0.6,200,0.8690060473700655,S1 no Myopic
0,0.6,200,0.9392312327462533,S1 Myopic
0,0.6,200,0.03850865018792979,SOFAI w/ Myopic S1
0,0.6,200,0.029488903138030112,SOFAI w/ no Myopic S1
0,0.9,200,0.8690060473700655,S1 no Myopic
0,0.9,200,0.9392312327462533,S1 Myopic
0,0.9,200,0.030425422582810648,SOFAI w/ Myopic S1
0,0.9,200,0.03174116768877516,SOFAI w/ no Myopic S1
0,0.1,200,0.841838622603853,S1 no Myopic
0,0.1,200,0.888063566375012,S1 Myopic
0,0.1,200,0.18522603253195746,SOFAI w/ Myopic S1
0,0.1,200,0.4304831713987358,SOFAI w/ no Myopic S1
0,0.3,200,0.841838622603853,S1 no Myopic
0,0.3,200,0.888063566375012,S1 Myopic
0,0.3,200,0.15339764090304003,SOFAI w/ Myopic S1
0,0.3,200,0.44716903448912615,SOFAI w/ no Myopic S1
0,0.6,200,0.841838622603853,S1 no Myopic
0,0.6,200,0.888063566375012,S1 Myopic
0,0.6,200,0.05490885770863897,SOFAI w/ Myopic S1
0,0.6,200,0.511926618437994,SOFAI w/ no Myopic S1
0,0.9,200,0.841838622603853,S1 no Myopic
0,0.9,200,0.888063566375012,S1 Myopic
0,0.9,200,0.16186549385029553,SOFAI w/ Myopic S1
0,0.9,200,0.3347915904899378,SOFAI w/ no Myopic S1
0,0.1,200,0.6408661649056044,S1 no Myopic
0,0.1,200,0.9283368398611163,S1 Myopic
0,0.1,200,0.07391494725249442,SOFAI w/ Myopic S1
0,0.1,200,0.2633743582515411,SOFAI w/ no Myopic S1
0,0.3,200,0.6408661649056044,S1 no Myopic
0,0.3,200,0.9283368398611163,S1 Myopic
0,0.3,200,0.05614870157902131,SOFAI w/ Myopic S1
0,0.3,200,0.33473816383442145,SOFAI w/ no Myopic S1
0,0.6,200,0.6408661649056044,S1 no Myopic
0,0.6,200,0.9283368398611163,S1 Myopic
0,0.6,200,0.03318339202564792,SOFAI w/ Myopic S1
0,0.6,200,0.12712581028655762,SOFAI w/ no Myopic S1
0,0.9,200,0.6408661649056044,S1 no Myopic
0,0.9,200,0.9283368398611163,S1 Myopic
0,0.9,200,0.03002024157845449,SOFAI w/ Myopic S1
0,0.9,200,0.042825590156921604,SOFAI w/ no Myopic S1
0,0.1,200,0.9273802360350911,S1 no Myopic
0,0.1,200,0.7842107461768579,S1 Myopic
0,0.1,200,0.31273302734657504,SOFAI w/ Myopic S1
0,0.1,200,0.6957113563709816,SOFAI w/ no Myopic S1
0,0.3,200,0.9273802360350911,S1 no Myopic
0,0.3,200,0.7842107461768579,S1 Myopic
0,0.3,200,0.37481347562995315,SOFAI w/ Myopic S1
0,0.3,200,0.7192107189507511,SOFAI w/ no Myopic S1
0,0.6,200,0.9273802360350911,S1 no Myopic
0,0.6,200,0.7842107461768579,S1 Myopic
0,0.6,200,0.2764638909336665,SOFAI w/ Myopic S1
0,0.6,200,0.7106864928086758,SOFAI w/ no Myopic S1
0,0.9,200,0.9273802360350911,S1 no Myopic
0,0.9,200,0.7842107461768579,S1 Myopic
0,0.9,200,0.3236069013126759,SOFAI w/ Myopic S1
0,0.9,200,0.49982544909304993,SOFAI w/ no Myopic S1
