,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
0,0,9.984,-37.027336187827295,3.858,null,0,0.0,0.0,0.0,0,nominal,9.984,-37.027336187827295,5.964,0.0,200,0.8,0,0,1,0.5,
0,0,32.296,-131.77289752606353,4.872,null,0,0.0,0.0,0.0,0,const,32.296,-131.77289752606353,0.158,0.0,200,0.8,0,0,1,0.5,
0,0,162.0,-6009.244732728172,12.0,s1,12,0.07407407407407407,-6009.244732728172,-37.0941032884455,162,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
0,0,162.0,-6009.244732728172,12.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
1,1,14.0,-530.2842712474619,8.0,s1,8,0.5714285714285714,-530.2842712474619,-37.87744794624728,14,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
1,1,14.0,-530.2842712474619,8.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
2,2,39.0,-1302.1665222413706,27.0,s1,27,0.6923076923076923,-1302.1665222413706,-33.388885185676166,39,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
2,2,39.0,-1302.1665222413706,27.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
3,3,31.0,-1068.2253967444162,21.0,s1,21,0.6774193548387096,-1068.2253967444162,-34.45888376594891,31,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
3,3,31.0,-1068.2253967444162,21.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
4,4,40.0,-1352.1665222413706,28.0,s1,28,0.7,-1352.1665222413706,-33.80416305603426,40,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
4,4,40.0,-1352.1665222413706,28.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
5,5,60.0,-1854.7350647362941,44.0,s1,44,0.7333333333333333,-1854.7350647362941,-30.912251078938237,60,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
5,5,60.0,-1854.7350647362941,44.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
6,6,69.0,-2530.391918985787,50.0,s1,50,0.7246376811594203,-2530.391918985787,-36.67234665196793,69,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
6,6,69.0,-2530.391918985787,50.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
7,7,37.0,-1236.852813742386,26.0,s1,26,0.7027027027027027,-1236.852813742386,-33.42845442546989,37,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
7,7,37.0,-1236.852813742386,26.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
8,8,20.0,-791.5979797464468,12.0,s1,12,0.6,-791.5979797464468,-39.57989898732234,20,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
8,8,20.0,-791.5979797464468,12.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
9,9,48.0,-1519.1370849898476,38.0,s1,38,0.7916666666666666,-1519.1370849898476,-31.648689270621826,48,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
9,9,48.0,-1519.1370849898476,38.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
10,10,64.0,-2106.048773235279,43.0,s1,43,0.671875,-2106.048773235279,-32.907012081801234,64,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
10,10,64.0,-2106.048773235279,43.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
11,11,24.0,-917.254833995939,15.0,s1,15,0.625,-917.254833995939,-38.218951416497454,24,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
11,11,24.0,-917.254833995939,15.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
12,12,198.0,-7744.440692221066,132.0,s1,132,0.6666666666666666,-7744.440692221066,-39.11333682939932,198,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
12,12,198.0,-7744.440692221066,132.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
13,13,21.0,-652.9116882454314,14.0,s1,14,0.6666666666666666,-652.9116882454314,-31.09103277359197,21,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
13,13,21.0,-652.9116882454314,14.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
14,14,18.0,-732.6274169979695,14.0,s1,14,0.7777777777777778,-732.6274169979695,-40.70152316655386,18,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
14,14,18.0,-732.6274169979695,14.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
15,15,102.0,-3066.2152954766498,105.0,s1,105,1.0294117647058822,-3066.2152954766498,-30.06093426937892,102,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
15,15,102.0,-3066.2152954766498,105.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
16,16,68.0,-2257.078210486802,70.0,s1,70,1.0294117647058822,-2257.078210486802,-33.192326624805915,68,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
16,16,68.0,-2257.078210486802,70.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
17,17,22.0,-841.5979797464468,21.0,s1,21,0.9545454545454546,-841.5979797464468,-38.25445362483849,22,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
17,17,22.0,-841.5979797464468,21.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
18,18,30.0,-935.1959594928935,31.0,s1,31,1.0333333333333334,-935.1959594928935,-31.173198649763115,30,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
18,18,30.0,-935.1959594928935,31.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
19,19,68.0,-2031.3624817342638,69.0,s1,69,1.0147058823529411,-2031.3624817342638,-29.872977672562705,68,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
19,19,68.0,-2031.3624817342638,69.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
20,20,84.0,-2619.989898732233,72.0,s1,72,0.8571428571428571,-2619.989898732233,-31.19035593728849,84,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
20,20,84.0,-2619.989898732233,72.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
21,21,21.0,-839.9411254969543,16.0,s1,16,0.7619047619047619,-839.9411254969543,-39.99719645223592,21,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
21,21,21.0,-839.9411254969543,16.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
22,22,37.0,-1196.5096679918781,30.0,s1,30,0.8108108108108109,-1196.5096679918781,-32.33809913491562,37,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
22,22,37.0,-1196.5096679918781,30.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
23,23,28.0,-1010.9116882454314,23.0,s1,23,0.8214285714285714,-1010.9116882454314,-36.10398886590826,28,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
23,23,28.0,-1010.9116882454314,23.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
24,24,45.0,-1507.8233764908628,40.0,s1,40,0.8888888888888888,-1507.8233764908628,-33.507186144241395,45,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
24,24,45.0,-1507.8233764908628,40.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
25,25,16.0,-630.2842712474619,9.0,s1,9,0.5625,-630.2842712474619,-39.39276695296637,16,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
25,25,16.0,-630.2842712474619,9.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
26,26,37.0,-1198.852813742386,35.0,s1,35,0.9459459459459459,-1198.852813742386,-32.40142739844286,37,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
26,26,37.0,-1198.852813742386,35.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
27,27,20.0,-697.2548339959392,16.0,s1,16,0.8,-697.2548339959392,-34.862741699796956,20,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
27,27,20.0,-697.2548339959392,16.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
28,28,27.0,-869.8822509939087,25.0,s1,25,0.9259259259259259,-869.8822509939087,-32.21786114792254,27,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
28,28,27.0,-869.8822509939087,25.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
29,29,18.0,-728.6274169979695,15.0,s1,15,0.8333333333333334,-728.6274169979695,-40.47930094433164,18,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
29,29,18.0,-728.6274169979695,15.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
30,30,32.0,-1119.8822509939087,35.0,s1,35,1.09375,-1119.8822509939087,-34.996320343559645,32,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
30,30,32.0,-1119.8822509939087,35.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
31,31,25.0,-858.5685424949238,24.0,s1,24,0.96,-858.5685424949238,-34.34274169979695,25,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
31,31,25.0,-858.5685424949238,24.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
32,32,101.0,-4422.96046148071,140.0,s1,140,1.386138613861386,-4422.96046148071,-43.791687737432774,101,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
32,32,101.0,-4422.96046148071,140.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
33,33,20.0,-741.5979797464468,29.0,s1,29,1.45,-741.5979797464468,-37.07989898732234,20,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
33,33,20.0,-741.5979797464468,29.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
34,34,93.0,-3258.9015869776645,80.0,s1,80,0.8602150537634409,-3258.9015869776645,-35.04195254814693,93,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
34,34,93.0,-3258.9015869776645,80.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
35,35,31.0,-1029.539105243401,24.0,s1,24,0.7741935483870968,-1029.539105243401,-33.21093887881939,31,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
35,35,31.0,-1029.539105243401,24.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
36,36,30.0,-1019.8822509939087,32.0,s1,32,1.0666666666666667,-1019.8822509939087,-33.99607503313029,30,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
36,36,30.0,-1019.8822509939087,32.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
37,37,41.0,-1394.8528137423857,33.0,s1,33,0.8048780487804879,-1394.8528137423857,-34.02080033518014,41,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
37,37,41.0,-1394.8528137423857,33.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
38,38,31.0,-1156.9116882454314,32.0,s1,32,1.032258064516129,-1156.9116882454314,-37.31973187888488,31,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
38,38,31.0,-1156.9116882454314,32.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
39,39,19.0,-786.6274169979695,15.0,s1,15,0.7894736842105263,-786.6274169979695,-41.40144299989313,19,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
39,39,19.0,-786.6274169979695,15.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
40,40,23.0,-668.2253967444162,15.0,s1,15,0.6521739130434783,-668.2253967444162,-29.053278119322446,23,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
40,40,23.0,-668.2253967444162,15.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
41,41,20.0,-739.9411254969543,17.0,s1,17,0.85,-739.9411254969543,-36.997056274847715,20,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
41,41,20.0,-739.9411254969543,17.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
42,42,44.0,-1770.5096679918781,40.0,s1,40,0.9090909090909091,-1770.5096679918781,-40.238856090724504,44,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
42,42,44.0,-1770.5096679918781,40.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
43,43,48.0,-1569.1370849898476,59.0,s1,59,1.2291666666666667,-1569.1370849898476,-32.690355937288494,48,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
43,43,48.0,-1569.1370849898476,59.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
44,44,90.0,-2645.2447327281725,97.0,s1,97,1.0777777777777777,-2645.2447327281725,-29.39160814142414,90,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
44,44,90.0,-2645.2447327281725,97.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
45,45,16.0,-684.2842712474619,13.0,s1,13,0.8125,-684.2842712474619,-42.76776695296637,16,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
45,45,16.0,-684.2842712474619,13.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
46,46,30.0,-1019.8822509939087,29.0,s1,29,0.9666666666666667,-1019.8822509939087,-33.99607503313029,30,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
46,46,30.0,-1019.8822509939087,29.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
47,47,18.0,-641.5979797464466,34.0,s1,34,1.8888888888888888,-641.5979797464466,-35.64433220813592,18,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
47,47,18.0,-641.5979797464466,34.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
48,48,56.0,-2002.1076477383247,79.0,s1,79,1.4107142857142858,-2002.1076477383247,-35.75192228104151,56,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
48,48,56.0,-2002.1076477383247,79.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
49,49,57.0,-1768.3919189857866,52.0,s1,52,0.9122807017543859,-1768.3919189857866,-31.02441963132959,57,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
49,49,57.0,-1768.3919189857866,52.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
50,50,19.0,-691.5979797464466,12.0,s1,12,0.631578947368421,-691.5979797464466,-36.399893670865616,19,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
50,50,19.0,-691.5979797464466,12.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
51,51,18.0,-685.9411254969543,11.0,s1,11,0.6111111111111112,-685.9411254969543,-38.107840305386354,18,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
51,51,18.0,-685.9411254969543,11.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
52,52,69.0,-2177.362481734264,64.0,s1,64,0.927536231884058,-2177.362481734264,-31.55597799614875,69,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
52,52,69.0,-2177.362481734264,64.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
