,t3,t4,jsdiv,type
0,0.6,200,0.8348486088368181,S1 no Myopic
0,0.6,200,0.850356759855894,S1 Myopic
0,0.6,200,0.06704252262065505,SOFAI w/ Myopic S1
0,0.6,200,0.2920554523229292,SOFAI w/ no Myopic S1
0,0.6,200,0.9790322901923248,S1 no Myopic
0,0.6,200,0.7458904398131456,S1 Myopic
0,0.6,200,0.023992287749689707,SOFAI w/ Myopic S1
0,0.6,200,0.015571824694771882,SOFAI w/ no Myopic S1
0,0.6,200,0.9211917556770852,S1 no Myopic
0,0.6,200,0.8751695121424932,S1 Myopic
0,0.6,200,0.02087358889558919,SOFAI w/ Myopic S1
0,0.6,200,0.07254404029375988,SOFAI w/ no Myopic S1
0,0.6,200,0.9701242773327141,S1 no Myopic
0,0.6,200,0.9028561256667704,S1 Myopic
0,0.6,200,0.015298942128810465,SOFAI w/ Myopic S1
0,0.6,200,0.5883787861289314,SOFAI w/ no Myopic S1
0,0.6,200,0.9725160493292586,S1 no Myopic
0,0.6,200,0.9014596614329051,S1 Myopic
0,0.6,200,0.024372831397696477,SOFAI w/ Myopic S1
0,0.6,200,0.020404787769185154,SOFAI w/ no Myopic S1
0,0.6,200,0.8981351583970103,S1 no Myopic
0,0.6,200,0.8559481928111548,S1 Myopic
0,0.6,200,0.018019006892172965,SOFAI w/ Myopic S1
0,0.6,200,0.02670768216517361,SOFAI w/ no Myopic S1
0,0.6,200,0.9737359389681866,S1 no Myopic
0,0.6,200,0.9652315433902676,S1 Myopic
0,0.6,200,0.017184659099697096,SOFAI w/ Myopic S1
0,0.6,200,0.22357090847776312,SOFAI w/ no Myopic S1
0,0.6,200,0.9306146767070862,S1 no Myopic
0,0.6,200,0.7702421246935155,S1 Myopic
0,0.6,200,0.12374314402842992,SOFAI w/ Myopic S1
0,0.6,200,0.042348737912827616,SOFAI w/ no Myopic S1
0,0.6,200,0.7685947908837796,S1 no Myopic
0,0.6,200,0.8839697971357279,S1 Myopic
0,0.6,200,0.021467121807354873,SOFAI w/ Myopic S1
0,0.6,200,0.04961713708605313,SOFAI w/ no Myopic S1
0,0.6,200,0.9637933995129864,S1 no Myopic
0,0.6,200,0.9384736909690623,S1 Myopic
0,0.6,200,0.019530010290084193,SOFAI w/ Myopic S1
0,0.6,200,0.16802423401954625,SOFAI w/ no Myopic S1
